sample,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,|W_i|,W_i . W_ref,GyroXnew,GyroYnew,GyroZnew,Vx,Vy,Vz,ux,uy,uz,ux-angle,uy-angle,uz-angle
1866,0.170654297,-0.115478516,0.963623047,14.0180916,14.36854962,0.176030534,20.07468797,207.0019579,14.0180916,14.36854962,0.176030534,,,,,,,,,
1343,-0.657470703,0.718261719,0.040527344,-14.01244275,-14.3719084,-0.373587786,20.07585292,-207.0247399,14.01244275,14.3719084,0.373587786,,,,,,,,,
1327,-0.640380859,0.697021484,-0.321044922,-14.01244275,-14.35664122,-0.953740458,20.08410615,-207.0215932,14.01244275,14.35664122,0.953740458,,,,,,,,,
1805,0.733398438,-0.654052734,0.254150391,14.32343511,14.07847328,-0.098778626,20.08417189,206.9495134,14.32343511,14.07847328,-0.098778626,,,,,,,,,
1846,0.406494141,-0.357910156,0.828369141,13.8959542,14.49832061,0.305801527,20.0846299,207.1294481,13.8959542,14.49832061,0.305801527,,,,,,,,,
1740,0.477783203,-0.412841797,-0.889648438,14.02572519,14.37618321,-0.220916031,20.08592578,207.0373014,14.02572519,14.37618321,-0.220916031,,,,,,,,,
1301,-0.448486328,0.522460938,-0.752685547,-13.83687023,-14.53984733,-0.762900763,20.08601891,-207.1077018,13.83687023,14.53984733,0.762900763,,,,,,,,,
1699,-0.017822266,0.091552734,-1.041015625,14.31580153,14.08610687,-0.488091603,20.08976888,206.8778888,14.31580153,14.08610687,-0.488091603,,,,,,,,,
1356,-0.627441406,0.6875,0.24609375,-13.98954198,-14.41770992,-0.312519084,20.09167272,-207.1928006,13.98954198,14.41770992,0.312519084,,,,,,,,,
1746,0.546386719,-0.471679688,-0.783447266,14.27,14.14717557,0.176030534,20.09493626,207.1361627,14.27,14.14717557,0.176030534,,,,,,,,,
1150,0.692626953,-0.641113281,0.386962891,-14.0429771,-14.35664122,-0.785801527,20.09815506,-207.2063237,14.0429771,14.35664122,0.785801527,,,,,,,,,
1352,-0.646728516,0.714599609,0.170410156,-13.82160305,-14.58564885,-0.694198473,20.10621235,-207.3285165,13.82160305,14.58564885,0.694198473,,,,,,,,,
1592,-0.55078125,0.607421875,0.541259766,14.18603053,14.26167939,0.092061069,20.11585038,207.3797074,14.18603053,14.26167939,0.092061069,,,,,,,,,
1822,0.643066406,-0.589355469,0.548095703,14.23183206,14.21587786,0.176030534,20.11634196,207.3786702,14.23183206,14.21587786,0.176030534,,,,,,,,,
1353,-0.646240234,0.717529297,0.194335938,-13.9819084,-14.44824427,-0.717099237,20.11864201,-207.4442387,13.9819084,14.44824427,0.717099237,,,,,,,,,
1830,0.579101563,-0.534912109,0.626464844,13.96465649,14.48305344,0.084427481,20.11908536,207.4608991,13.96465649,14.48305344,0.084427481,,,,,,,,,
1106,0.288818359,-0.296386719,0.952392578,-14.00480916,-14.44824427,-0.007175573,20.12179151,-207.4710746,14.00480916,14.44824427,0.007175573,,,,,,,,,
1737,0.439208984,-0.376464844,-0.885986328,14.07916031,14.37618321,-0.213282443,20.12319279,207.4182611,14.07916031,14.37618321,-0.213282443,,,,,,,,,
1796,0.761230469,-0.686767578,0.112060547,14.14022901,14.32274809,0.038625954,20.12681498,207.5007143,14.14022901,14.32274809,0.038625954,,,,,,,,,
1718,0.230224609,-0.139892578,-1.023925781,14.20129771,14.26167939,-0.198015267,20.12738348,207.4326449,14.20129771,14.26167939,-0.198015267,,,,,,,,,
1308,-0.521972656,0.577148438,-0.637939453,-13.89793893,-14.54748092,-0.67129771,20.13038867,-207.5809563,13.89793893,14.54748092,0.67129771,,,,,,,,,
1760,0.653564453,-0.584228516,-0.580810547,13.96465649,14.48305344,-0.694198473,20.13088123,207.3119497,13.96465649,14.48305344,-0.694198473,,,,,,,,,
1335,-0.661865234,0.717041016,-0.154052734,-13.83687023,-14.61618321,-0.556793893,20.13459234,-207.6389168,13.83687023,14.61618321,0.556793893,,,,,,,,,
1761,0.660644531,-0.590332031,-0.536132813,14.21656489,14.24641221,-0.587328244,20.13494307,207.3524701,14.21656489,14.24641221,-0.587328244,,,,,,,,,
1276,-0.180419922,0.247314453,-0.998291016,-13.90557252,-14.54748092,-0.709465649,20.13696823,-207.6424719,13.90557252,14.54748092,0.709465649,,,,,,,,,
1708,0.101806641,-0.029541016,-1.0234375,14.2089313,14.26931298,0.12259542,20.13757808,207.6052555,14.2089313,14.26931298,0.12259542,,,,,,,,,
1755,0.618896484,-0.561767578,-0.640136719,14.26236641,14.21587786,0.198931298,20.13816905,207.5999079,14.26236641,14.21587786,0.198931298,,,,,,,,,
1832,0.550537109,-0.464111328,0.643066406,13.96465649,14.51358779,0.030992366,20.14092406,207.6789341,13.96465649,14.51358779,0.030992366,,,,,,,,,
1242,0.264160156,-0.176025391,-1.008056641,-13.91320611,-14.53984733,-0.87740458,20.1433439,-207.6717482,13.91320611,14.53984733,0.87740458,,,,,,,,,
1835,0.531005859,-0.468261719,0.724853516,13.94938931,14.53648855,0.145496183,20.14736039,207.7636029,13.94938931,14.53648855,0.145496183,,,,,,,,,
1139,0.624023438,-0.570800781,0.562744141,-14.08877863,-14.38717557,-0.717099237,20.1494103,-207.7467234,14.08877863,14.38717557,0.717099237,,,,,,,,,
1309,-0.519775391,0.591308594,-0.611328125,-13.93610687,-14.53984733,-0.648396947,20.15050008,-207.7905822,13.93610687,14.53984733,0.648396947,,,,,,,,,
1788,0.749267578,-0.681396484,-0.071289063,14.01045802,14.48305344,0.183664122,20.15156329,207.805168,14.01045802,14.48305344,0.183664122,,,,,,,,,
1829,0.577148438,-0.511962891,0.605224609,14.01045802,14.48305344,0.206564885,20.15178502,207.8095489,14.01045802,14.48305344,0.206564885,,,,,,,,,
1246,0.211914063,-0.142333984,-1.028564453,-13.84450382,-14.63145038,-0.625496183,20.15293705,-207.8204021,13.84450382,14.63145038,0.625496183,,,,,,,,,
1804,0.714599609,-0.665039063,0.208984375,14.28526718,14.21587786,0.137862595,20.15388419,207.7508682,14.28526718,14.21587786,0.137862595,,,,,,,,,
1296,-0.414550781,0.457275391,-0.807373047,-13.72236641,-14.72305344,-1.068244275,20.15472124,-207.7224428,13.72236641,14.72305344,1.068244275,,,,,,,,,
1245,0.231933594,-0.159912109,-1.008789063,-13.89793893,-14.59328244,-0.388854962,20.15608611,-207.8693113,13.89793893,14.59328244,0.388854962,,,,,,,,,
1806,0.722900391,-0.666748047,0.263427734,14.49900763,14.0021374,-0.114045802,20.15673785,207.6228768,14.49900763,14.0021374,-0.114045802,,,,,,,,,
1628,-0.647949219,0.707519531,-0.170410156,14.38450382,14.11664122,-0.320152672,20.15678564,207.6262,14.38450382,14.11664122,-0.320152672,,,,,,,,,
1348,-0.642822266,0.704345703,0.090087891,-14.0429771,-14.45587786,-0.457557252,20.15904187,-207.8853669,14.0429771,14.45587786,0.457557252,,,,,,,,,
1848,0.388427734,-0.329101563,0.839355469,14.04099237,14.46015267,0.39740458,20.1594497,207.8917201,14.04099237,14.46015267,0.39740458,,,,,,,,,
1290,-0.340332031,0.406982422,-0.87109375,-14.05824427,-14.4329771,-0.869770992,20.16684312,-207.901458,14.05824427,14.4329771,0.869770992,,,,,,,,,
1766,0.702880859,-0.622802734,-0.459472656,14.10969466,14.40671756,0.26,20.16691831,207.9539129,14.10969466,14.40671756,0.26,,,,,,,,,
1306,-0.508300781,0.572509766,-0.689453125,-14.1040458,-14.40244275,-0.648396947,20.16866093,-207.9561378,14.1040458,14.40244275,0.648396947,,,,,,,,,
1315,-0.576904297,0.617919922,-0.540039063,-13.8521374,-14.63908397,-0.770534351,20.16874347,-207.9594261,13.8521374,14.63908397,0.770534351,,,,,,,,,
1316,-0.572265625,0.641113281,-0.520263672,-13.7910687,-14.70778626,-0.564427481,20.1700553,-207.9998631,13.7910687,14.70778626,0.564427481,,,,,,,,,
1821,0.655517578,-0.576171875,0.522460938,14.12496183,14.39908397,0.19129771,20.1713847,207.9921344,14.12496183,14.39908397,0.19129771,,,,,,,,,
1154,0.703613281,-0.647705078,0.141113281,-14.03534351,-14.44061069,-1.236183206,20.17548645,-207.8659735,14.03534351,14.44061069,1.236183206,,,,,,,,,
1605,-0.633300781,0.701416016,0.278808594,14.41503817,14.11664122,-0.281984733,20.17801775,207.8503583,14.41503817,14.11664122,-0.281984733,,,,,,,,,
1756,0.609863281,-0.55078125,-0.63671875,14.08679389,14.45251908,0.038625954,20.18203563,208.0913076,14.08679389,14.45251908,0.038625954,,,,,,,,,
1365,-0.606689453,0.650146484,0.382568359,-14.01244275,-14.51694656,-0.640763359,20.18665071,-208.1600712,14.01244275,14.51694656,0.640763359,,,,,,,,,
1634,-0.641113281,0.700195313,-0.271484375,14.23946565,14.30748092,-0.259083969,20.18745939,208.0344193,14.23946565,14.30748092,-0.259083969,,,,,,,,,
1670,-0.374511719,0.435302734,-0.872802734,14.3921374,14.17007634,-0.030076336,20.1971678,208.1353551,14.3921374,14.17007634,-0.030076336,,,,,,,,,
1620,-0.671630859,0.719726563,-0.022705078,14.5829771,13.97923664,-0.159847328,20.20167887,208.0392785,14.5829771,13.97923664,-0.159847328,,,,,,,,,
1389,-0.406494141,0.455078125,0.766357422,-14.06587786,-14.4940458,-0.488091603,20.20308187,-208.339172,14.06587786,14.4940458,0.488091603,,,,,,,,,
1872,0.085205078,-0.051269531,0.953369141,14.22419847,14.34564885,0.282900763,20.20409602,208.3149927,14.22419847,14.34564885,0.282900763,,,,,,,,,
1594,-0.580566406,0.634277344,0.422119141,14.20129771,14.36854962,-0.449923664,20.20728844,208.1833552,14.20129771,14.36854962,-0.449923664,,,,,,,,,
1386,-0.440429688,0.485839844,0.725097656,-14.08114504,-14.48641221,-0.495725191,20.20842715,-208.3919965,14.08114504,14.48641221,0.495725191,,,,,,,,,
1819,0.652587891,-0.59765625,0.461425781,14.09442748,14.48305344,0.145496183,20.20972271,208.3942229,14.09442748,14.48305344,0.145496183,,,,,,,,,
1372,-0.548828125,0.605957031,0.520507813,-14.03534351,-14.53221374,-0.579694656,20.21168349,-208.42516,14.03534351,14.53221374,0.579694656,,,,,,,,,
1373,-0.532714844,0.590087891,0.541992188,-14.07351145,-14.50167939,-0.404122137,20.2120198,-208.4343873,14.07351145,14.50167939,0.404122137,,,,,,,,,
1865,0.186767578,-0.150146484,0.970214844,14.1478626,14.43725191,0.160763359,20.21440337,208.4342573,14.1478626,14.43725191,0.160763359,,,,,,,,,
1261,0.025634766,0.053222656,-1.040039063,-13.82923664,-14.72305344,-0.953740458,20.22191162,-208.4595374,13.82923664,14.72305344,0.953740458,,,,,,,,,
1362,-0.621582031,0.655273438,0.361816406,-14.13458015,-14.45587786,-0.53389313,20.22483134,-208.5505402,14.13458015,14.45587786,0.53389313,,,,,,,,,
1641,-0.627441406,0.680908203,-0.414306641,14.37687023,14.22351145,-0.205648855,20.22486012,208.39279,14.37687023,14.22351145,-0.205648855,,,,,,,,,
1790,0.768066406,-0.703857422,-0.014892578,14.33870229,14.2540458,0.542442748,20.22549009,208.4930843,14.33870229,14.2540458,0.542442748,,,,,,,,,
1228,0.426269531,-0.339599609,-0.959716797,-14.3559542,-14.2421374,-0.381221374,20.22565768,-208.4957468,14.3559542,14.2421374,0.381221374,,,,,,,,,
1723,0.297119141,-0.220458984,-0.981933594,14.3310687,14.27694656,0.015725191,20.2289639,208.509303,14.3310687,14.27694656,0.015725191,,,,,,,,,
1368,-0.579345703,0.626708984,0.462402344,-14.14984733,-14.45587786,-0.32778626,20.23111534,-208.6195409,14.14984733,14.45587786,0.32778626,,,,,,,,,
1388,-0.411621094,0.44921875,0.729980469,-14.18038168,-14.42534351,-0.457557252,20.2332182,-208.6329655,14.18038168,14.42534351,0.457557252,,,,,,,,,
1291,-0.358642578,0.417480469,-0.864013672,-13.85977099,-14.73832061,-0.60259542,20.24041669,-208.7233495,13.85977099,14.73832061,0.60259542,,,,,,,,,
1354,-0.640136719,0.687988281,0.211181641,-14.06587786,-14.54748092,-0.587328244,20.24408742,-208.7576057,14.06587786,14.54748092,0.587328244,,,,,,,,,
1349,-0.656494141,0.723876953,0.10546875,-14.09641221,-14.52458015,-0.663664122,20.25123986,-208.8178726,14.09641221,14.52458015,0.663664122,,,,,,,,,
1686,-0.187255859,0.260986328,-0.973388672,14.30053435,14.34564885,-0.106412214,20.25621503,208.78266,14.30053435,14.34564885,-0.106412214,,,,,,,,,
